"","PER","PBR","PCR","PSR","DY"
"069960",8.83702738588885,0.485513101284189,5.12798226852699,1.21311284443482,0.0084
"294870",NA,NA,NA,NA,NA
"000060",NA,NA,NA,NA,NA
"006260",7.28811047490738,0.595754522177253,9.11474304970514,0.22741116751269,0.0186
"010120",20.209324452902,1.85001306506402,14.6887966804979,0.906259333532449,0.0155
"042670",14.0779146117093,0.659264499968486,3.14252382649842,0.318515524185813,NA
"010620",4.78370336461433,0.893506049335214,-3.0766965994406,0.851879025026494,NA
"026960",16.9970973017171,1.67007712701856,18.6601885098743,3.7180200321946,0.0336
"069620",64.3494909018987,3.22002203087886,19.5711637391723,2.11750902061856,0.0034
"006280",35.3671544736842,1.69706198069812,32.4962455613126,1.46093067629474,0.0078
"039490",NA,NA,NA,NA,NA
"003240",13.1875331412104,0.576640393157546,5.2795777329103,0.627762397969682,0.0012
"139130",NA,NA,NA,NA,NA
"138040",NA,NA,NA,NA,NA
"012510",43.510093765586,9.40568603773585,34.8254443113772,8.48616128404669,0.0068
"111770",15.6537292658694,1.26915817945849,10.6949111954745,0.846842368586075,0.0078
"034020",-5.81722138184931,0.258704616808054,3.9567403761938,0.116956446301193,NA
"000240",9.87824846017699,0.558847539801742,13.6237844914565,2.03002317410281,0.0167
"120110",12.0783400148038,0.702628201860145,5.89943505422993,0.354196599956588,0.0182
"009240",16.9640397666667,3.20832903388495,24.6004202054381,0.789598941866667,0.0173
"161890",33.9216261395349,4.82409175105231,297.128317851852,1.95288816504382,0.0042
"011790",14.3484367068182,0.990416690355171,7.54098441352126,0.594809887978142,0.0214
"009420",269.759846224138,14.0702078066547,37.1640643254157,18.5820321627078,NA
"018250",40.6693857874016,13.1536808022071,-234.7732725,2.46383144935602,0.0059
"071840",NA,NA,NA,NA,NA
"011200",-1.24875866701682,1.69652406707548,-5.52509962149601,0.302627771630867,NA
"192820",80.023867962963,6.62194003721541,-229.159258257576,1.71091753902715,0.002
"012450",-31.2563900414938,0.690764786795048,-155.315257731959,0.357385363539319,NA
"114090",NA,NA,NA,NA,NA
"031430",60.2900414937759,2.9282345828295,139.710576923077,1.31790476190476,0.0029
"073240",-11.6239138569712,1.463248385465,20.3459249558205,0.504333350490196,NA
"051600",10.5220588235294,1.5810407689758,10.7756024096386,1.15701811125485,0.0462
"004370",15.5251557111356,0.764831689207539,13.6182942263056,0.637654133496355,0.0173
"000670",5.75355094031071,0.405625755872604,7.6567930359086,0.377813782920347,0.0131
"204320",292.992863333333,0.995798161863627,5.07896621162875,0.247394892254648,0.0067
"005440",11.9761225731922,0.664623813154546,12.7640253740602,0.535948026756117,0.0058
"001740",40.2747618784431,0.572781369699808,-2.11972430939174,0.0884851007242325,0.0221
"267270",28.823521888412,1.14713136903237,179.090149333333,0.711918227593152,NA
"003520",NA,NA,NA,NA,NA
"057050",10.7755102040816,0.854700854700855,47.3118279569892,1.26545872878919,0.0155
"180640",5.85304890986931,0.759660497806633,7.90019192883212,1.12967865799774,0.0057
"003000",113.810523923423,5.97868819474681,146.894978552326,8.38285876277372,0.007
