"","PER","PBR","PCR","PSR","Div"
"AVH",115.883328011871,3.97203173462367,10.6634277391398,1.26596280264873,0.00456535111105565
"AVA",28.9689996204148,1.94121644464074,8.18422356433616,2.32236199702752,0.0275344879735932
"AVP",-612.963774628571,-1.18365418548966,3.26789521888804,0.15014159221779,NA
"AVX",579.060058004073,1.26733101077228,14.5433683626859,1.8196686055576,0.0266349193134962
"EQH",13.7148,0.864484983314794,11.417806072478,0.934550264550265,NA
"AXTA",172.610721508447,4.96419832251391,11.7311360728889,1.44729574579849,NA
"AXS",-11.1396069034752,1.01431161639362,NA,1.01203168471629,NA
"AX",14.2510345031624,2.26868056936522,12.9089768632939,5.24039515514886,0.000142553263192976
"AZUL",13.9816004491162,2.61038460479741,25.0315124196277,0.949587877111962,NA
"AZRE",-0.593295291018149,0.0404951993131938,0.266812791952695,0.0637225769420565,NA
"AZZ",27.2734388186588,2.17959557539504,15.6118308177774,1.52007447651247,0.0143500281697433
"BGS",8.28917600695291,2.04649205114785,47.688803460409,1.08065261717832,0.0685852373314219
"BW",NA,NA,NA,NA,NA
"BMI",42.309081715889,5.2717848997304,NA,3.63449772388431,NA
"BHGE",-173.908872328767,0.863100664899041,-15.8890459073842,0.735578404310794,0.0122091969363064
"BLL",42.3911697026738,4.02291232397869,10.7268589098782,1.44353068094328,0.00813659515685648
"BANC",25.4683199025902,1.23826344490385,1.63464516323837,3.02364914332649,0.0501541193341285
"BBVA",12.7664231800124,0.886465341646815,19.9914110916204,1.99991966669652,0.0413316182872711
"BBD",4.09165488118474,0.542964378372723,-4.53952569113682,1.02457347248612,0.106676615711706
"BCH",15.4186931959984,2.85968131811668,9.71332798731055,6.02416782160695,0.0385114775594729
"BLX",7.83978276564348,0.616462360425465,1.13760201275535,5.03260069047582,0.0942748544562615
"BSMX",3.01075996465401,0.457283060695675,-0.542029563786922,1.00455448862265,0.167718090382898
"BSBR",9.16567829975222,0.943963443372713,1.62643451966901,2.26813985584803,0.0691004842251856
"BSAC",10.3832623471086,1.88140399879816,8.42714417881752,3.98923755790794,0.0565813456767518
"SAN",12.8761645902314,0.848154265677486,1.99415866451677,2.03393859219329,0.0332537869435131
"CIB",0.0149091693360459,0.00168682293684877,-0.00736010373410391,0.00349827818788414,28.8864287497593
"BXS",20.5386101037031,1.83432310174878,17.3799945809948,4.25276275963408,0.0153842476910075
"BAC",16.9247722192707,1.14881308022465,27.0360342920158,3.3500388863195,0.0202662440666703
"BOH",17.5160346560388,2.62586669350937,NA,5.16930931754441,NA
"BMO",9.93725511560031,1.27925376220173,-3.8917022157561,2.3883452209327,0.0391690812067246
"NTB",18.7938519634703,3.50072600972053,NA,6.33486698768689,NA
"BK",12.7446505512397,1.30863419699276,NA,3.16999337922528,NA
"BNS",8.67034882860335,1.19773507163293,-6.2465850140944,2.74181592283305,0.0556030121690938
"BKU",5.96971434275823,1.16595049275263,11.0732911940645,3.3944006565143,0.0259698998577897
"BCS",-84.6047193629291,2.3142015405117,2.17554281453411,7.81365506664553,0.00860780432875376
"MPV",NA,NA,NA,NA,NA
"BNED",-1.11455857082901,0.601542429636531,4.68837813530529,0.127744340327743,NA
"BKS",-3.98747231220134,1.2152613664156,13.4928858815286,0.136709105671877,0.0875352238936689
"B",54.6354818311874,2.57566695548198,15.9188267604943,2.25977682755087,0.00910335130853935
"ABX",10.3486027927677,1.60255124014646,7.20643623050847,1.77708273417722,0.00839980896452901
"BAS",-2.82577172766204,0.770446216847354,NA,0.316163996847372,NA
"BHC",3.77013084858569,NA,NA,1.03890354883081,NA
"BAX",53.4713068505439,4.20198673957036,20.8704012040501,3.63023643706467,0.00821619238072887
"BTE",NA,NA,NA,NA,NA
"BBT",16.4273459909189,1.37126181988494,7.86811393739806,3.38613817083008,0.03232908598715
"BFR",1.6745105506715,0.249234689905969,-0.434242649594727,0.362305864012083,0.157217314249233
"BBX",6.16157858750532,0.883503919892539,7.7204065915639,0.622680492782846,0.00728007319453119
"BCE",12.8897132195836,2.36940756332542,4.8805029939875,1.5806479611673,0.0734877622773923
"BZH",10.0250710087071,0.467334247699431,3.3253144543265,0.166430749609399,NA
"BDX",63.4620244660194,5.04911827591534,25.6336804705882,5.40526628628132,0.010357084554559
"BDC",45.0319146862506,1.82983735987294,10.2797295573835,1.09870539716483,0.0165278741080303
"BXE",-0.689537996782067,0.0813907873419619,1.14106611121174,0.279448274026562,NA
"BEL",-41.8374530920395,2.69724499173999,37.1575857376694,3.35856160171409,NA
