"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"1056","LPI","Laredo Petroleum, Inc.","6.05","$1.42B","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/lpi",NA
"1057","LVS","Las Vegas Sands Corp.","55.66","$43.86B","2004","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/lvs",NA
"1058","LHO","LaSalle Hotel Properties","32.07","$3.54B","1998","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/lho",NA
"1059","LTM","LATAM Airlines Group S.A.","8.9","$5.4B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ltm",NA
"1060","LAZ","Lazard Ltd.","41.96","$5.02B","2005","Finance","Investment Managers","https://www.nasdaq.com/symbol/laz",NA
"1061","LZB","La-Z-Boy Incorporated","27.37","$1.28B","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/lzb",NA
"1062","LCII","LCI Industries ","74.43","$1.88B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/lcii",NA
"1063","LEAF","Leaf Group Ltd.","9.09","$227.49M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/leaf",NA
"1064","LEA","Lear Corporation","137.25","$8.99B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/lea",NA
"1065","LEE","Lee Enterprises, Incorporated","2.8","$159.82M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/lee",NA
"1066","LGC","Legacy Acquisition Corp.","9.68","$84.49M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lgc",NA
"1067","LM","Legg Mason, Inc.","29.15","$2.49B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/lm",NA
"1068","LEG","Leggett & Platt, Incorporated","38.28","$4.98B","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/leg",NA
"1069","LDOS","Leidos Holdings, Inc.","67.57","$10.17B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ldos",NA
"1070","LEJU","Leju Holdings Limited","1.68","$228.08M","2014","Finance","Real Estate","https://www.nasdaq.com/symbol/leju",NA
"1071","LC","LendingClub Corporation","3.63","$1.54B","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lc",NA
"1072","LEN","Lennar Corporation","40.83","$13.49B","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/len",NA
"1073","LII","Lennox International, Inc.","193.12","$7.77B","1999","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lii",NA
"1074","LHC","Leo Holdings Corp.","9.72","$243M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/lhc",NA
"1075","LPL","LG Display Co., Ltd.","7.86","$5.62B","2004","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lpl",NA
"1076","LBRT","Liberty Oilfield Services Inc.","18.91","$2.23B","2018","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/lbrt",NA
"1077","LPT","Liberty Property Trust","40.62","$6B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/lpt",NA
"1078","LSI","Life Storage, Inc.","92.51","$4.31B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/lsi",NA
"1079","LITB","LightInTheBox Holding Co., Ltd.","0.8789","$119.19M","2013","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/litb",NA
"1080","LNC","Lincoln National Corporation","64","$13.87B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/lnc",NA
"1081","LNN","Lindsay Corporation","93.59","$1.01B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lnn",NA
"1082","LN","LINE Corporation","35.65","$8.56B","2016","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/ln",NA
"1083","LKM","Link Motion Inc.","0.5899","$57.8M","2011","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/lkm",NA
"1084","LAD","Lithia Motors, Inc.","73.9","$1.79B","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/lad",NA
"1085","LAC","Lithium Americas Corp.","3.89","$344.62M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/lac",NA
"1086","LYV","Live Nation Entertainment, Inc.","51.68","$10.8B","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/lyv",NA
"1087","RAMP","LiveRamp Holdings, Inc.","46.33","$3.6B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ramp",NA
"1088","LYG","Lloyds Banking Group Plc","2.89","$51.4B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/lyg",NA
"1089","LMT","Lockheed Martin Corporation","328.14","$93.45B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/lmt",NA
"1090","L","Loews Corporation","47","$14.85B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/l",NA
"1091","LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima","8.41","$1B","2017","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/loma",NA
"1092","LPX","Louisiana-Pacific Corporation","21.8","$3.11B","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/lpx",NA
"1093","LOW","Lowe&#39;s Companies, Inc.","99.59","$80.5B","n/a","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/low",NA
"1094","LXU","Lsb Industries Inc.","8.8","$251.8M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lxu",NA
